"first_name","last_name","address","city","county","state","zip","phone","email","rewards"
"James","Butt","6649 N Blue Gum St","New Orleans","Orleans","LA","70116","504-621-8927","jbutt@gmail.com","gold "
"Josephine","Darakjy","4 B Blue Ridge Blvd","Brighton","Livingston","MI","48116","810-292-9388","josephine_darakjy@darakjy.org","silver"
"Art","Venere","8 W Cerritos Ave #54","Bridgeport","Gloucester","NJ","8014","856-636-8749","art@venere.org","silver"
"Lenna","Paprocki","639 Main St","Anchorage","Anchorage","AK","99501","907-385-4412","lpaprocki@hotmail.com","platinum"
"Donette","Foller","34 Center St","Hamilton","Butler","OH","45011","513-570-1893","donette.foller@cox.net","bronze"
"Simona","Morasca","3 Mcauley Dr","Ashland","Ashland","OH","44805","419-503-2484","simona@morasca.com","platinum"
"Mitsue","Tollner","7 Eads St","Chicago","Cook","IL","60632","773-573-6914","mitsue_tollner@yahoo.com","silver"
"Leota","Dilliard","7 W Jackson Blvd","San Jose","Santa Clara","CA","95111","408-752-3500","leota@hotmail.com","gold "
"Sage","Wieser","5 Boston Ave #88","Sioux Falls","Minnehaha","SD","57105","605-414-2147","sage_wieser@cox.net","bronze"
"Kris","Marrier","228 Runamuck Pl #2808","Baltimore","Baltimore City","MD","21224","410-655-8723","kris@gmail.com","gold "
"Minna","Amigon","2371 Jerrold Ave","Kulpsville","Montgomery","PA","19443","215-874-1229","minna_amigon@yahoo.com","silver"
"Abel","Maclead","37275 St  Rt 17m M","Middle Island","Suffolk","NY","11953","631-335-3414","amaclead@gmail.com","platinum"
"Kiley","Caldarera","25 E 75th St #69","Los Angeles","Los Angeles","CA","90034","310-498-5651","kiley.caldarera@aol.com","platinum"
"Graciela","Ruta","98 Connecticut Ave Nw","Chagrin Falls","Geauga","OH","44023","440-780-8425","gruta@cox.net","platinum"
"Cammy","Albares","56 E Morehead St","Laredo","Webb","TX","78045","956-537-6195","calbares@gmail.com","platinum"
"Mattie","Poquette","73 State Road 434 E","Phoenix","Maricopa","AZ","85013","602-277-4385","mattie@aol.com","gold "
"Meaghan","Garufi","69734 E Carrillo St","Mc Minnville","Warren","TN","37110","931-313-9635","meaghan@hotmail.com","gold "
"Gladys","Rim","322 New Horizon Blvd","Milwaukee","Milwaukee","WI","53207","414-661-9598","gladys.rim@rim.org","silver"
"Yuki","Whobrey","1 State Route 27","Taylor","Wayne","MI","48180","313-288-7937","yuki_whobrey@aol.com","silver"
"Fletcher","Flosi","394 Manchester Blvd","Rockford","Winnebago","IL","61109","815-828-2147","fletcher.flosi@yahoo.com","silver"
"Bette","Nicka","6 S 33rd St","Aston","Delaware","PA","19014","610-545-3615","bette_nicka@cox.net","platinum"
"Veronika","Inouye","6 Greenleaf Ave","San Jose","Santa Clara","CA","95111","408-540-1785","vinouye@aol.com","silver"
"Willard","Kolmetz","618 W Yakima Ave","Irving","Dallas","TX","75062","972-303-9197","willard@hotmail.com","bronze"
"Maryann","Royster","74 S Westgate St","Albany","Albany","NY","12204","518-966-7987","mroyster@royster.com","bronze"
"Alisha","Slusarski","3273 State St","Middlesex","Middlesex","NJ","8846","732-658-3154","alisha@slusarski.com","silver"
"Allene","Iturbide","1 Central Ave","Stevens Point","Portage","WI","54481","715-662-6764","allene_iturbide@cox.net","gold "
"Chanel","Caudy","86 Nw 66th St #8673","Shawnee","Johnson","KS","66218","913-388-2079","chanel.caudy@caudy.org","silver"
"Ezekiel","Chui","2 Cedar Ave #84","Easton","Talbot","MD","21601","410-669-1642","ezekiel@chui.com","gold "
"Willow","Kusko","90991 Thorburn Ave","New York","New York","NY","10011","212-582-4976","wkusko@yahoo.com","gold "
"Bernardo","Figeroa","386 9th Ave N","Conroe","Montgomery","TX","77301","936-336-3951","bfigeroa@aol.com","silver"
"Ammie","Corrio","74874 Atlantic Ave","Columbus","Franklin","OH","43215","614-801-9788","ammie@corrio.com","silver"
"Francine","Vocelka","366 South Dr","Las Cruces","Dona Ana","NM","88011","505-977-3911","francine_vocelka@vocelka.com","bronze"
